mod_id,mod_name,mod_version,mod_file,mod_url,display_url,issue_tracker_url
treechop,HT's TreeChop,0.19.0,TreeChop-1.20.1-forge-0.19.0-fixed.jar,,https://github.com/hammertater/treechop,https://github.com/hammertater/treechop/issues
arcaneessenceblock,ArcaneEssenceBlock,1.0.0,Arcane_EssencePlus.jar,,https://mcreator.net,
betterdungeons,YUNG's Better Dungeons,1.20-Forge-4.0.4,YungsBetterDungeons-1.20-Forge-4.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-dungeons,https://github.com/yungnickyoung/YUNGs-Better-Dungeons/issues
kuma_api,KumaAPI,20.1.12,kuma-api-forge-20.1.12+1.20.1.jar,,https://mods.twelveiterations.com/mc/kuma,https://github.com/TwelveIterationMods/Kuma/issues
supermartijn642configlib,SuperMartijn642's Config Library,1.1.8,supermartijn642configlib-1.1.8-forge-mc1.20.jar,,https://www.curseforge.com/minecraft/mc-mods/supermartijn642s-config-lib,https://github.com/SuperMartijn642/SuperMartijn642sConfigLib/issues
betterwitchhuts,YUNG's Better Witch Huts,1.20-Forge-3.0.3,YungsBetterWitchHuts-1.20-Forge-3.0.3.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-witch-huts,https://github.com/yungnickyoung/YUNGs-Better-Witch-Huts/issues
additionalentityattributes,Additional Entity Attributes,1.4.0.5+1.20.1,additionalentityattributes-forge-1.4.0.5+1.20.1.jar,,,
simplemagnets,Simple Magnets,1.1.12,simplemagnets-1.1.12-forge-mc1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/simple-magnets,https://github.com/SuperMartijn642/SimpleMagnets/issues
playeranimator,Player Animator,1.0.2-rc1+1.20,player-animation-lib-forge-1.0.2-rc1+1.20.jar,,,
aether,The Aether,1.20.1-1.5.2-neoforge,aether-1.20.1-1.5.2-neoforge.jar,,https://modrinth.com/mod/aether,https://github.com/The-Aether-Team/The-Aether/issues
prefab,Prefab,1.10.0.1,prefab-1.10.0.1.jar,,https://www.curseforge.com/minecraft/mc-mods/prefab,https://github.com/Brian-Wuest/MC-Prefab/issues
betteroceanmonuments,YUNG's Better Ocean Monuments,1.20-Forge-3.0.4,YungsBetterOceanMonuments-1.20-Forge-3.0.4.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-ocean-monuments,https://github.com/yungnickyoung/YUNGs-Better-Ocean-Monuments/issues
mcwwindows,Macaw's Windows,2.4.2,mcw-mcwwindows-2.4.2-mc1.20.1forge.jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-windows,
immersive_aircraft,Immersive Aircraft,1.4.0+1.20.1,immersive_aircraft-1.4.0+1.20.1-forge.jar,,https://www.curseforge.com/minecraft/mc-mods/immersive-aircraft,https://github.com/Luke100000/ImmersiveAircraft/issues
apoli,Apoli,1.20.1-2.9.0.8,apoli-forge-1.20.1-2.9.0.8.jar,,,https://github.com/EdwinMindcraft/apoli/issues
sophisticatedcore,Sophisticated Core,1.2.117.1347,sophisticatedcore-1.20.1-1.2.117.1347.jar,,,https://github.com/P3pp3rF1y/SophisticatedCore/issues
bettercaves,YUNG's Better Caves,1.20.1-Forge-2.0.5,YungsBetterCaves-1.20.1-Forge-2.0.5.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-caves,https://github.com/yungnickyoung/YUNGs-Better-Caves/issues
prism,Prism,1.0.5,Prism-1.20.1-forge-1.0.5.jar,,https://anthonyhilyard.com/,
placebo,Placebo,8.6.3,Placebo-1.20.1-8.6.3.jar,,,
modernfix,ModernFix,5.25.1+mc1.20.1,modernfix-forge-5.25.1+mc1.20.1.jar,,https://modrinth.com/mod/modernfix,https://github.com/embeddedt/ModernFix/issues
citadel,Citadel,2.6.2,citadel-2.6.2-1.20.1.jar,,https://github.com/Alex-the-666/Citadel,https://github.com/Alex-the-666/Citadel/issues
alexsmobs,Alex's Mobs,1.22.9,alexsmobs-1.22.9.jar,,https://www.curseforge.com/minecraft/mc-mods/alexs-mobs,https://github.com/Alex-the-666/AlexsMobs/issues
yungsapi,YUNG's API,1.20-Forge-4.0.6,YungsApi-1.20-Forge-4.0.6.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-api,https://github.com/yungnickyoung/YUNGs-Api/issues
mcwstairs,Macaw's Stairs and Balconies,1.0.2,mcw-mcwstairs-1.0.2-mc1.20.1forge.jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-stairs,
darkdoppelganger,DarkDoppelganger,9.7.1-1.20.1,darkdoppelganger-9.7.1-1.20.1.jar,,,
mixinextras,MixinExtras,0.4.1,mixinextras-forge-0.4.1.jar,,https://github.com/LlamaLad7/MixinExtras,
potionsmaster,PotionsMaster,0.6.0,potionsmaster-1.20.1-47.1.70-0.6.0.jar,,,
bookshelf,Bookshelf,20.2.13,Bookshelf-Forge-1.20.1-20.2.13.jar,,https://www.curseforge.com/minecraft/mc-mods/bookshelf,https://github.com/Darkhax-Minecraft/Bookshelf/issues
sophisticatedbackpacks,Sophisticated Backpacks,3.24.18.1488,sophisticatedbackpacks-1.20.1-3.24.18.1488.jar,,,https://github.com/P3pp3rF1y/SophisticatedBackpacks/issues
guardvillagers,Guard Villagers,1.20.1-1.6.15,guardvillagers-1.20.1-1.6.15.jar,,https://www.curseforge.com/minecraft/mc-mods/guard-villagers,https://github.com/seymourimadeit/guardvillagers/issues
relics,Relics,0.8.0.11,relics-1.20.1-0.8.0.11.jar,,https://www.curseforge.com/minecraft/mc-mods/relics-mod,https://discord.gg/pHren9yxzW
apotheosis,Apotheosis,7.4.8,Apotheosis-1.20.1-7.4.8.jar,,,
mcwdoors,Macaw's Doors,1.1.2,mcw-doors-1.1.2-mc1.20.1forge.jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-doors,
balm,Balm,7.3.38,balm-forge-1.20.1-7.3.38-all.jar,,https://mods.twelveiterations.com/,https://github.com/TwelveIterationMods/Balm/issues
immersive_armors,Immersive Armors,1.7.1+1.20.1,immersive_armors-1.7.1+1.20.1-forge.jar,,https://www.curseforge.com/minecraft/mc-mods/ImmersiveArmors,https://github.com/Luke100000/ImmersiveArmors/issues
carryon,Carry On,2.1.2.7,carryon-forge-1.20.1-2.1.2.7.jar,,https://tschipp.ch,https://github.com/Tschipp/CarryOn/issues
jeresources,Just Enough Resources,1.4.0.247,JustEnoughResources-1.20.1-1.4.0.247.jar,,https://www.curseforge.com/minecraft/mc-mods/just-enough-resources-jer,https://github.com/way2muchnoise/JustEnoughResources/issues
betterfortresses,YUNG's Better Nether Fortresses,1.20-Forge-2.0.6,YungsBetterNetherFortresses-1.20-Forge-2.0.6.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-nether-fortresses,https://github.com/yungnickyoung/YUNGs-Better-Fortresses/issues
cloth_config,Cloth Config v10 API,11.1.136,cloth-config-11.1.136-forge.jar,,,https://github.com/architectury/ClothConfig/issues/
dummmmmmy,MmmMmmMmmmmm,1.20-2.0.9,dummmmmmy-1.20-2.0.9.jar,https://www.curseforge.com/minecraft/mmmmmmmmmmmm/labels,,https://github.com/MehVahdJukaar/DuMmmMmmy/issues
twilightforest,The Twilight Forest,4.3.2508,twilightforest-1.20.1-4.3.2508-universal.jar,,https://www.curseforge.com/minecraft/mc-mods/the-twilight-forest,https://github.com/TeamTwilight/twilightforest/issues
mob_grinding_utils,Mob Grinding Utils,1.20.1-1.1.0,mob_grinding_utils-1.20.1-1.1.0.jar,,,
mcwbridges,Macaw's Bridges,3.1.0,mcw-bridges-3.1.0-mc1.20.1forge.jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-bridges,
themutantmobsmod,TheMutantMobsMod,1.0.9,TheMutantMobsModV1.0.9[Minecraft1.20.1].jar,,https://mcreator.net,
botanytrees,BotanyTrees,9.0.19,BotanyTrees-Forge-1.20.1-9.0.19.jar,,https://www.curseforge.com/minecraft/mc-mods/botany-trees,https://github.com/Darkhax-Minecraft/BotanyTrees/issues
explorify,Explorify,1.6.4,Explorify v1.6.4 f15-88.mod.jar,,https://modrinth.com/datapack/explorify,
ironfurnaces,Iron Furnaces,4.1.6,ironfurnaces-1.20.1-4.1.6.jar,,https://www.curseforge.com/minecraft/mc-mods/iron-furnaces/,
mcwfences,Macaw's Fences and Walls,1.2.1,mcw-mcwfences-1.2.1-mc1.20.1forge.jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-fences-and-walls,
supermartijn642corelib,SuperMartijn642's Core Lib,1.1.19,supermartijn642corelib-1.1.19-forge-mc1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/supermartijn642s-core-lib,https://github.com/SuperMartijn642/SuperMartijn642sCoreLib/issues
yungsbridges,YUNG's Bridges,1.20-Forge-4.0.3,YungsBridges-1.20-Forge-4.0.3.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-bridges,https://github.com/yungnickyoung/YUNGs-Bridges/issues
resourcefulconfig,Resourcefulconfig,2.1.3,resourcefulconfig-forge-1.20.1-2.1.3.jar,,,https://github.com/Team-Resourceful/Resouceful-Config/issues
servercore,ServerCore,1.5.2+1.20.1,servercore-forge-1.5.2+1.20.1.jar,,https://github.com/Wesley1808/ServerCore,https://github.com/Wesley1808/ServerCore/issues
lionfishapi,LionfishAPI,2.4-Fix,lionfishapi-2.4-Fix.jar,,,
gtbcs_spell_lib,GTBC's SpellLib,1.4.0-1.20.1,gtbcs_spell_lib-1.4.0-1.20.1.jar,,,
cataclysm,cataclysm,3.16,L_Enders_Cataclysm-3.16.jar,,,
curios,Curios API,5.14.1+1.20.1,curios-forge-5.14.1+1.20.1.jar,,https://www.curseforge.com/minecraft/mc-mods/curios,https://github.com/TheIllusiveC4/Curios/issues
patchouli,Patchouli,1.20.1-84.1-FORGE,Patchouli-1.20.1-84.1-FORGE.jar,,,https://github.com/VazkiiMods/Patchouli
origins,Origins,1.20.1-1.10.0.9,origins-forge-1.20.1-1.10.0.9-all.jar,,,https://github.com/EdwinMindcraft/origins-architectury/issues
cerbons_api,CerbonsApi,1.0.0,CerbonsApi-Forge-1.20.1-1.0.0.jar,,https://www.curseforge.com/minecraft/mc-mods/cerbons-api-forge,https://github.com/CERBON-MODS/CERBONs-API/issues
attributeslib,Apothic Attributes,1.3.7,ApothicAttributes-1.20.1-1.3.7.jar,,,
spells_gone_wrong,Spells Gone Wrong,1.20.1-2.0.1,spells_gone_wrong-1.20.1-V2.0.1.jar,,,
ftbultimine,FTB Ultimine,2001.1.7,ftb-ultimine-forge-2001.1.7.jar,,,https://go.ftb.team/support-mod-issues
connectormod,Connector,1.0.0-beta.47+1.20.1,Connector-1.0.0-beta.47+1.20.1-mod.jar,,https://github.com/Sinytra/Connector,https://github.com/Sinytra/Connector/issues
betterstrongholds,YUNG's Better Strongholds,1.20-Forge-4.0.3,YungsBetterStrongholds-1.20-Forge-4.0.3.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-strongholds,https://github.com/yungnickyoung/YUNGs-Better-Strongholds/issues
icarus,Icarus,2.13.1,Icarus-Forge-2.13.1.jar,,https://curseforge.com/projects/428151,https://github.com/Up-Mods/Icarus/issues
atlaslib,Atlas Lib,1.1.12,Atlas Lib-1.20.1-1.1.12.jar,,https://www.curseforge.com/minecraft/mc-mods/atlas-lib,
cumulus_menus,Cumulus,1.20.1-1.0.1-neoforge,cumulus_menus-1.20.1-1.0.1-neoforge.jar,,https://modrinth.com/mod/cumulus,https://github.com/The-Aether-Team/Cumulus/issues
constructionwand,Construction Wand,1.20.1-2.11,constructionwand-1.20.1-2.11.jar,,https://github.com/Theta-Dev/ConstructionWand,
mcwroofs,Macaw's Roofs,2.3.2,mcw-roofs-2.3.2-mc1.20.1forge.jar,,https://www.curseforge.com/minecraft/mc-mods/macaws-roofs,
deeperdarker,Deeper and Darker,1.3.3,deeperdarker-forge-1.20.1-1.3.3.jar,,,https://github.com/KyaniteMods/DeeperAndDarker/issues
architectury,Architectury,9.2.14,architectury-9.2.14-forge.jar,,,https://github.com/shedaniel/architectury/issues
aiimprovements,AI-Improvements,0.5.2,AI-Improvements-1.20-0.5.2.jar,,,https://github.com/BuiltBrokenModding/AI-Improvements/issues
refurbished_furniture,MrCrayfish's Furniture Mod: Refurbished,1.0.20,refurbished_furniture-forge-1.20.1-1.0.20.jar,,https://mrcrayfish.com/mods/furniture_refurbished,https://github.com/MrCrayfish/MrCrayfishFurnitureMod-Refurbished/issues
betterendisland,YUNG's Better End Island,1.20-Forge-2.0.6,YungsBetterEndIsland-1.20-Forge-2.0.6.jar,,https://www.curseforge.com/minecraft/mc-mods/yungs-better-end-island,https://github.com/yungnickyoung/YUNGs-Better-End-Island/issues
trashcans,Trash Cans,1.0.18b,trashcans-1.0.18b-forge-mc1.20.jar,,https://www.curseforge.com/minecraft/mc-mods/trash-cans,https://github.com/SuperMartijn642/TrashCans/issues
